Depth (ft)	Density (g/cc)
973.5	2.6214
974	2.6197
974.5	2.617
975	2.6234
975.5	2.6217
976	2.6215
976.5	2.6096
977	2.6007
977.5	2.5914
978	2.5955
978.5	2.5907
979	2.6192
979.5	2.638
980	2.6307
980.5	2.6206
981	2.6083
981.5	2.6319
982	2.6141
982.5	2.6161
983	2.6258
983.5	2.6032
984	2.6071
984.5	2.5977
985	2.6076
985.5	2.6119
986	2.622
986.5	2.6037
987	2.6049
987.5	2.5892
988	2.6021
988.5	2.614
989	2.5952
989.5	2.584
990	2.5808
990.5	2.6175
991	2.6049
991.5	2.5982
992	2.6063
992.5	2.6348
993	2.5982
993.5	2.5911
994	2.5797
994.5	2.6094
995	2.5825
995.5	2.5822
996	2.5831
996.5	2.5675
997	2.58
997.5	2.5983
998	2.6224
998.5	2.6016
999	2.5498
999.5	2.5857
1000	2.5307
1000.5	2.5026
1001	2.5565
1001.5	2.5858
1002	2.5271
1002.5	2.5033
1003	2.5376
1003.5	2.4917
1004	2.5338
1004.5	2.614
1005	2.5912
1005.5	2.5152
1006	2.5032
1006.5	2.5472
1007	2.5642
1007.5	2.5834
1008	2.5806
1008.5	2.5892
1009	2.5897
1009.5	2.6041
1010	2.5904
1010.5	2.5793
1011	2.5989
1011.5	2.6264
1012	2.6367
1012.5	2.633
1013	2.6178
1013.5	2.618
1014	2.607
1014.5	2.6087
1015	2.6147
1015.5	2.6156
1016	2.6148
1016.5	2.6504
1017	2.6517
1017.5	2.5801
1018	2.5871
1018.5	2.6186
1019	2.6016
1019.5	2.6216
1020	2.6254
1020.5	2.6177
1021	2.6343
1021.5	2.6165
1022	2.6062
1022.5	2.593
1023	2.634
1023.5	2.6196
1024	2.5904
1024.5	2.5948
1025	2.5982
1025.5	2.6016
1026	2.6049
1026.5	2.5889
1027	2.6086
1027.5	2.6008
1028	2.6445
1028.5	2.5798
1029	2.5701
1029.5	2.5804
1030	2.6198
1030.5	2.621
1031	2.569
1031.5	2.5758
1032	2.5918
1032.5	2.5959
1033	2.6308
1033.5	2.5539
1034	2.5737
1034.5	2.5949
1035	2.5847
1035.5	2.5528
1036	2.6172
1036.5	2.576
1037	2.5534
1037.5	2.5555
1038	2.5881
1038.5	2.5817
1039	2.5804
1039.5	2.5765
1040	2.5549
1040.5	2.5707
1041	2.5633
1041.5	2.5939
1042	2.6007
1042.5	2.5994
1043	2.6078
1043.5	2.629
1044	2.6183
1044.5	2.6206
1045	2.6033
1045.5	2.6275
1046	2.6399
1046.5	2.63
1047	2.6186
1047.5	2.5826
1048	2.677
1048.5	2.6079
1049	2.5876
1049.5	2.6083
1050	2.6072
1050.5	2.6022
1051	2.5636
1051.5	2.5761
1052	2.5867
1052.5	2.6154
1053	2.6011
1053.5	2.6076
1054	2.6111
1054.5	2.6044
1055	2.6106
1055.5	2.58
1056	2.5347
1056.5	2.5053
1057	2.5132
1057.5	2.5175
1058	2.536
1058.5	2.5529
1059	2.5588
1059.5	2.5451
1060	2.4932
1060.5	2.5429
1061	2.527
1061.5	2.5142
1062	2.5158
1062.5	2.5012
1063	2.5074
1063.5	2.5585
1064	2.6105
1064.5	2.643
1065	2.6409
1065.5	2.6074
1066	2.576
1066.5	2.5886
1067	2.5892
1067.5	2.608
1068	2.5976
1068.5	2.5863
1069	2.58
1069.5	2.605
1070	2.5781
1070.5	2.5575
1071	2.5271
1071.5	2.5361
1072	2.5267
1072.5	2.5355
1073	2.5556
1073.5	2.5468
1074	2.5464
1074.5	2.5725
1075	2.5684
1075.5	2.5865
1076	2.6226
1076.5	2.6233
1077	2.6217
1077.5	2.6067
1078	2.6018
1078.5	2.5894
1079	2.6251
1079.5	2.6261
1080	2.6317
1080.5	2.6235
1081	2.5938
1081.5	2.6012
1082	2.6056
1082.5	2.5943
1083	2.5995
1083.5	2.5982
1084	2.6039
1084.5	2.5976
1085	2.5862
1085.5	2.6104
1086	2.5937
1086.5	2.6133
1087	2.5963
1087.5	2.6137
1088	2.6322
1088.5	2.6245
1089	2.6148
1089.5	2.604
1090	2.5967
1090.5	2.5801
1091	2.5868
1091.5	2.5954
1092	2.5977
1092.5	2.5815
1093	2.6058
1093.5	2.6187
1094	2.6052
1094.5	2.6017
1095	2.6108
1095.5	2.5976
1096	2.6008
1096.5	2.6139
1097	2.6358
1097.5	2.613
1098	2.6074
1098.5	2.5922
1099	2.6129
1099.5	2.5985
1100	2.5845
1100.5	2.6446
1101	2.6378
1101.5	2.6551
1102	2.6486
1102.5	2.6173
1103	2.6415
1103.5	2.6326
1104	2.6118
1104.5	2.5978
1105	2.6044
1105.5	2.5938
1106	2.6081
1106.5	2.6227
1107	2.5903
1107.5	2.6089
1108	2.5899
1108.5	2.5452
1109	2.5604
1109.5	2.6594
1110	2.6366
1110.5	2.5957
1111	2.6047
1111.5	2.583
1112	2.5908
1112.5	2.5886
1113	2.6103
1113.5	2.6112
1114	2.6199
1114.5	2.6255
1115	2.6303
1115.5	2.6535
1116	2.6233
1116.5	2.6154
1117	2.6177
1117.5	2.6094
1118	2.6277
1118.5	2.6318
1119	2.6226
1119.5	2.6556
1120	2.6343
1120.5	2.6234
1121	2.6133
1121.5	2.599
1122	2.5837
1122.5	2.5863
1123	2.596
1123.5	2.573
1124	2.5988
1124.5	2.6256
1125	2.6395
1125.5	2.6185
1126	2.5983
1126.5	2.6258
1127	2.6108
1127.5	2.604
1128	2.578
1128.5	2.616
1129	2.5905
1129.5	2.597
1130	2.6114
1130.5	2.6062
1131	2.6135
1131.5	2.59
1132	2.6102
1132.5	2.588
1133	2.6093
1133.5	2.6095
1134	2.593
1134.5	2.5966
1135	2.5702
1135.5	2.5771
1136	2.5589
1136.5	2.6381
1137	2.6177
1137.5	2.6049
1138	2.5907
1138.5	2.5934
1139	2.5623
1139.5	2.5295
1140	2.5747
1140.5	2.595
1141	2.5787
1141.5	2.5787
1142	2.6
1142.5	2.5868
1143	2.5897
1143.5	2.5764
1144	2.6123
1144.5	2.6023
1145	2.5987
1145.5	2.6023
1146	2.5876
1146.5	2.5698
1147	2.5862
1147.5	2.5761
1148	2.6165
1148.5	2.6046
1149	2.5962
1149.5	2.5801
1150	2.5617
1150.5	2.6145
1151	2.5635
1151.5	2.5933
1152	2.5802
1152.5	2.615
1153	2.5682
1153.5	2.5559
1154	2.58
1154.5	2.5913
1155	2.5702
1155.5	2.6055
1156	2.6224
1156.5	2.5949
1157	2.5519
1157.5	2.5507
1158	2.6054
1158.5	2.6041
1159	2.6073
1159.5	2.6233
1160	2.6197
1160.5	2.5975
1161	2.5933
1161.5	2.5814
1162	2.5792
1162.5	2.5942
1163	2.6068
1163.5	2.6125
1164	2.6034
1164.5	2.6066
1165	2.5907
1165.5	2.6144
1166	2.6164
1166.5	2.6016
1167	2.6009
1167.5	2.5917
1168	2.5744
1168.5	2.582
1169	2.5934
1169.5	2.6191
1170	2.5985
1170.5	2.6098
1171	2.5966
1171.5	2.5736
1172	2.6
1172.5	2.5942
1173	2.5988
1173.5	2.6084
1174	2.6039
1174.5	2.5948
1175	2.5714
1175.5	2.5019
1176	2.513
1176.5	2.4699
1177	2.57
1177.5	2.6061
1178	2.5393
1178.5	2.5127
1179	2.4765
1179.5	2.4332
1180	2.4303
1180.5	2.4439
1181	2.4666
1181.5	2.4535
1182	2.454
1182.5	2.4489
1183	2.4541
1183.5	2.4253
1184	2.4054
1184.5	2.4334
1185	2.4523
1185.5	2.4136
1186	2.3989
1186.5	2.4444
1187	2.4256
1187.5	2.4164
1188	2.4278
1188.5	2.439
1189	2.4366
1189.5	2.4175
1190	2.4153
1190.5	2.4405
1191	2.4997
1191.5	2.5501
1192	2.5319
1192.5	2.5753
1193	2.5559
1193.5	2.5424
1194	2.5224
1194.5	2.5679
1195	2.532
1195.5	2.5022
1196	2.4705
1196.5	2.5153
1197	2.5513
1197.5	2.5896
1198	2.5652
1198.5	2.5277
1199	2.5796
1199.5	2.5212
1200	2.5159
1200.5	2.5252
1201	2.595
1201.5	2.6102
1202	2.593
1202.5	2.5968
1203	2.5827
1203.5	2.5785
1204	2.5676
1204.5	2.5975
1205	2.6098
1205.5	2.598
1206	2.5899
1206.5	2.6237
1207	2.5999
1207.5	2.5811
1208	2.5758
1208.5	2.5872
1209	2.5817
1209.5	2.5782
1210	2.5938
1210.5	2.589
1211	2.617
1211.5	2.5983
1212	2.5959
1212.5	2.591
1213	2.5967
1213.5	2.6193
1214	2.6351
1214.5	2.6225
1215	2.6203
1215.5	2.6204
1216	2.6289
1216.5	2.6314
1217	2.6104
1217.5	2.6138
1218	2.5736
1218.5	2.5971
1219	2.5945
1219.5	2.6259
1220	2.5989
1220.5	2.6023
1221	2.5741
1221.5	2.6085
1222	2.6256
1222.5	2.6237
1223	2.5976
1223.5	2.6186
1224	2.5758
1224.5	2.6559
1225	2.6046
1225.5	2.5746
1226	2.5755
1226.5	2.6072
1227	2.6163
1227.5	2.6129
1228	2.6485
1228.5	2.6054
1229	2.6131
1229.5	2.6165
1230	2.6265
1230.5	2.6259
1231	2.5923
1231.5	2.5812
1232	2.6014
1232.5	2.6242
1233	2.6027
1233.5	2.5799
1234	2.6029
1234.5	2.5944
1235	2.5881
1235.5	2.6111
1236	2.6179
1236.5	2.6215
1237	2.6211
1237.5	2.613
1238	2.5989
1238.5	2.5848
1239	2.606
1239.5	2.618
1240	2.6334
1240.5	2.6316
1241	2.6215
1241.5	2.6548
1242	2.619
1242.5	2.6195
1243	2.6048
1243.5	2.5981
1244	2.6044
1244.5	2.6361
1245	2.6327
1245.5	2.5989
1246	2.6302
1246.5	2.6407
1247	2.6389
1247.5	2.626
1248	2.6461
1248.5	2.6364
1249	2.6358
1249.5	2.6049
1250	2.6359
1250.5	2.6277
1251	2.6499
1251.5	2.6481
1252	2.6477
1252.5	2.6429
1253	2.6309
1253.5	2.5993
1254	2.5929
1254.5	2.6147
1255	2.6193
1255.5	2.6287
1256	2.6138
1256.5	2.6099
1257	2.6103
1257.5	2.636
1258	2.62
1258.5	2.6273
1259	2.6423
1259.5	2.6281
1260	2.6282
1260.5	2.6252
1261	2.635
1261.5	2.635
1262	2.654
1262.5	2.6325
1263	2.6063
1263.5	2.6525
1264	2.6427
1264.5	2.6446
1265	2.5789
1265.5	2.6023
1266	2.6145
1266.5	2.6574
1267	2.6248
1267.5	2.6172
1268	2.6135
1268.5	2.6401
1269	2.6288
1269.5	2.6092
1270	2.6347
1270.5	2.6289
1271	2.6276
1271.5	2.6271
1272	2.6338
1272.5	2.6499
1273	2.6469
1273.5	2.6262
1274	2.62
1274.5	2.6145
1275	2.6094
1275.5	2.5917
1276	2.6054
1276.5	2.6068
1277	2.5886
1277.5	2.5816
1278	2.595
1278.5	2.611
1279	2.6326
1279.5	2.6436
1280	2.6083
1280.5	2.6197
1281	2.6021
1281.5	2.5885
1282	2.5928
1282.5	2.6099
1283	2.6415
1283.5	2.6421
1284	2.6336
1284.5	2.648
1285	2.6484
1285.5	2.6716
1286	2.6361
1286.5	2.6298
1287	2.6658
1287.5	2.6638
1288	2.6547
1288.5	2.6353
1289	2.6132
1289.5	2.6271
1290	2.6211
1290.5	2.6329
1291	2.6324
1291.5	2.6435
1292	2.6269
1292.5	2.6429
1293	2.62
1293.5	2.6199
1294	2.6379
1294.5	2.6137
1295	2.5994
1295.5	2.5957
1296	2.6133
1296.5	2.6148
1297	2.6362
1297.5	2.6313
1298	2.6234
1298.5	2.6204
1299	2.6158
1299.5	2.6134
1300	2.6254
1300.5	2.6343
1301	2.6242
1301.5	2.6424
1302	2.6481
1302.5	2.6348
1303	2.6372
1303.5	2.6232
1304	2.6129
1304.5	2.6318
1305	2.6083
1305.5	2.6091
1306	2.608
1306.5	2.6189
1307	2.6231
1307.5	2.6091
1308	2.6143
1308.5	2.6128
1309	2.6047
1309.5	2.6306
1310	2.6175
1310.5	2.5976
1311	2.6122
1311.5	2.6036
1312	2.6287
1312.5	2.6271
1313	2.5793
1313.5	2.6041
1314	2.5991
1314.5	2.6144
1315	2.6171
1315.5	2.612
1316	2.6334
1316.5	2.5914
1317	2.5973
1317.5	2.596
1318	2.6176
1318.5	2.6104
1319	2.6202
1319.5	2.6413
1320	2.6212
1320.5	2.6201
1321	2.6431
1321.5	2.6332
1322	2.6364
1322.5	2.6395
1323	2.63
1323.5	2.6392
1324	2.6697
1324.5	2.6703
1325	2.6367
1325.5	2.6529
1326	2.6465
1326.5	2.6264
1327	2.6278
1327.5	2.5867
1328	2.6094
1328.5	2.6247
1329	2.6233
1329.5	2.6176
1330	2.6356
1330.5	2.6379
1331	2.6269
1331.5	2.6204
1332	2.6037
1332.5	2.6412
1333	2.605
1333.5	2.5835
1334	2.6005
1334.5	2.6119
1335	2.6311
1335.5	2.6372
1336	2.6354
1336.5	2.6244
1337	2.6223
1337.5	2.6298
1338	2.6095
1338.5	2.6099
1339	2.612
1339.5	2.646
1340	2.5917
1340.5	2.6037
1341	2.5756
1341.5	2.5973
1342	2.5866
1342.5	2.6284
1343	2.6157
1343.5	2.6076
1344	2.6326
1344.5	2.5961
1345	2.6423
1345.5	2.5876
1346	2.5834
1346.5	2.6217
1347	2.6558
1347.5	2.6036
1348	2.5942
1348.5	2.6223
1349	2.6439
1349.5	2.6023
1350	2.5858
1350.5	2.581
1351	2.611
1351.5	2.6106
1352	2.6325
1352.5	2.6299
1353	2.6347
1353.5	2.5949
1354	2.6051
1354.5	2.6066
1355	2.621
1355.5	2.6171
1356	2.6174
1356.5	2.6208
1357	2.6149
1357.5	2.5976
1358	2.6121
1358.5	2.6314
1359	2.6345
1359.5	2.6098
1360	2.6313
1360.5	2.6186
1361	2.6344
1361.5	2.6566
1362	2.6416
1362.5	2.6387
1363	2.6081
1363.5	2.5983
1364	2.5929
1364.5	2.6014
1365	2.6328
1365.5	2.6179
1366	2.6297
1366.5	2.6392
1367	2.639
1367.5	2.6062
1368	2.6245
1368.5	2.6212
1369	2.6259
1369.5	2.6229
1370	2.6461
1370.5	2.6387
1371	2.5913
1371.5	2.5945
1372	2.6206
1372.5	2.6197
1373	2.6177
1373.5	2.6336
1374	2.6303
1374.5	2.6139
1375	2.6056
1375.5	2.6145
1376	2.6348
1376.5	2.6248
1377	2.6036
1377.5	2.6319
1378	2.5915
1378.5	2.5887
1379	2.6216
1379.5	2.6337
1380	2.6451
1380.5	2.6464
1381	2.6329
1381.5	2.635
1382	2.6146
1382.5	2.5865
1383	2.5869
1383.5	2.5918
1384	2.596
1384.5	2.6072
1385	2.6244
1385.5	2.6289
1386	2.6169
1386.5	2.6246
1387	2.6136
1387.5	2.6082
1388	2.6139
1388.5	2.6164
1389	2.6541
1389.5	2.6442
1390	2.6348
1390.5	2.6309
1391	2.635
1391.5	2.6363
1392	2.6042
1392.5	2.5948
1393	2.6185
1393.5	2.5988
1394	2.6117
1394.5	2.6261
1395	2.6241
1395.5	2.6296
1396	2.6227
1396.5	2.6177
1397	2.6397
1397.5	2.5932
1398	2.6017
1398.5	2.63
1399	2.6172
1399.5	2.6158
1400	2.6165
1400.5	2.5813
1401	2.5723
1401.5	2.5952
1402	2.6247
1402.5	2.6335
1403	2.6234
1403.5	2.6414
1404	2.6276
1404.5	2.6095
1405	2.604
1405.5	2.626
1406	2.6203
1406.5	2.6307
1407	2.6271
1407.5	2.6294
1408	2.6215
1408.5	2.5965
1409	2.6296
1409.5	2.6452
1410	2.6277
1410.5	2.6332
1411	2.6327
1411.5	2.6076
1412	2.6368
1412.5	2.6032
1413	2.6198
1413.5	2.5836
1414	2.5839
1414.5	2.5887
1415	2.6196
1415.5	2.632
1416	2.624
1416.5	2.6216
1417	2.6075
1417.5	2.5959
1418	2.6149
1418.5	2.6177
1419	2.632
1419.5	2.6255
1420	2.6081
1420.5	2.6101
1421	2.6079
1421.5	2.6251
1422	2.5959
1422.5	2.6113
1423	2.6263
1423.5	2.6417
1424	2.6094
1424.5	2.62
1425	2.6337
1425.5	2.618
1426	2.6143
1426.5	2.6073
1427	2.6201
1427.5	2.6239
1428	2.6363
1428.5	2.635
1429	2.6342
1429.5	2.6056
1430	2.6187
1430.5	2.6311
1431	2.6227
1431.5	2.6526
1432	2.6204
1432.5	2.6269
1433	2.6204
1433.5	2.6168
1434	2.6244
1434.5	2.6128
1435	2.6056
1435.5	2.6285
1436	2.6231
1436.5	2.6157
1437	2.6162
1437.5	2.6385
1438	2.6306
1438.5	2.6366
1439	2.6256
1439.5	2.6157
1440	2.622
1440.5	2.6343
1441	2.6591
1441.5	2.6451
1442	2.6269
1442.5	2.6118
1443	2.5859
1443.5	2.5903
1444	2.6088
1444.5	2.6096
1445	2.6399
1445.5	2.612
1446	2.6399
1446.5	2.632
1447	2.6474
1447.5	2.6309
1448	2.6528
1448.5	2.6143
1449	2.6379
1449.5	2.6096
1450	2.5689
1450.5	2.5583
1451	2.6005
1451.5	2.6048
1452	2.571
1452.5	2.5871
1453	2.6211
1453.5	2.63
1454	2.6641
1454.5	2.6567
1455	2.6405
1455.5	2.6475
1456	2.6265
1456.5	2.6234
1457	2.6052
1457.5	2.6171
1458	2.5909
1458.5	2.5997
1459	2.5763
1459.5	2.6052
1460	2.5827
1460.5	2.5704
1461	2.58
1461.5	2.6148
1462	2.5982
1462.5	2.5614
1463	2.5925
1463.5	2.5974
1464	2.6032
1464.5	2.6175
1465	2.6198
1465.5	2.5974
1466	2.5741
1466.5	2.5846
1467	2.5187
1467.5	2.4952
1468	2.5114
1468.5	2.5149
1469	2.5079
1469.5	2.5696
1470	2.6323
1470.5	2.6075
1471	2.614
1471.5	2.6313
1472	2.6327
1472.5	2.6209
1473	2.6136
1473.5	2.6253
1474	2.6306
1474.5	2.6395
1475	2.6487
1475.5	2.6604
1476	2.6676
1476.5	2.6546
1477	2.6723
1477.5	2.6412
1478	2.6267
1478.5	2.6031
1479	2.5893
1479.5	2.6182
1480	2.6019
1480.5	2.6121
1481	2.6358
1481.5	2.6362
1482	2.6354
1482.5	2.6372
1483	2.6589
1483.5	2.629
1484	2.6235
1484.5	2.6171
1485	2.5792
1485.5	2.6363
1486	2.6215
1486.5	2.6201
1487	2.5952
1487.5	2.6085
1488	2.621
1488.5	2.6105
1489	2.6403
1489.5	2.6233
1490	2.6404
1490.5	2.631
1491	2.6143
1491.5	2.6077
1492	2.6116
1492.5	2.6309
1493	2.6632
1493.5	2.6749
1494	2.6039
1494.5	2.5824
1495	2.6202
1495.5	2.6629
1496	2.6215
1496.5	2.6403
1497	2.6304
1497.5	2.7707
1498	2.5765
1498.5	2.5737
1499	2.6285
1499.5	2.606
1500	2.6442
1500.5	2.6232
1501	2.6282
1501.5	2.6159
1502	2.632
1502.5	2.6041
1503	2.6318
1503.5	2.6215
1504	2.6092
1504.5	2.5823
1505	2.4822
1505.5	2.552
1506	2.4937
1506.5	2.4746
1507	2.4516
1507.5	2.4626
1508	2.481
1508.5	2.499
1509	2.4481
1509.5	2.4616
1510	2.4702
1510.5	2.4814
1511	2.489
1511.5	2.5016
1512	2.5346
1512.5	2.5007
1513	2.4974
1513.5	2.4658
1514	2.5022
1514.5	2.4882
1515	2.46
1515.5	2.4899
1516	2.4895
1516.5	2.5052
1517	2.522
1517.5	2.5577
1518	2.5995
1518.5	2.6194
1519	2.5904
1519.5	2.6171
1520	2.5987
1520.5	2.6311
1521	2.6531
1521.5	2.6211
1522	2.6425
1522.5	2.6361
1523	2.6028
1523.5	2.6486
1524	2.6432
1524.5	2.607
1525	2.5682
1525.5	2.5479
1526	2.6044
1526.5	2.5546
1527	2.543
1527.5	2.5673
1528	2.5744
1528.5	2.5886
1529	2.6329
1529.5	2.6057
1530	2.5386
1530.5	2.6022
1531	2.602
1531.5	2.6023
1532	2.6228
1532.5	2.6293
1533	2.6593
1533.5	2.6384
1534	2.5892
1534.5	2.5594
1535	2.5071
1535.5	2.5106
1536	2.4759
1536.5	2.5032
1537	2.5272
1537.5	2.5171
1538	2.4711
1538.5	2.4584
1539	2.4903
1539.5	2.5466
1540	2.597
1540.5	2.6301
1541	2.596
1541.5	2.5973
1542	2.5155
1542.5	2.5065
1543	2.4859
1543.5	2.4322
1544	2.4808
1544.5	2.4969
1545	2.4952
1545.5	2.4953
1546	2.5236
1546.5	2.5179
1547	2.4924
1547.5	2.4986
1548	2.4721
1548.5	2.523
1549	2.5768
1549.5	2.5185
1550	2.5212
1550.5	2.5223
1551	2.5232
1551.5	2.5412
1552	2.5128
1552.5	2.534
1553	2.4862
1553.5	2.4678
1554	2.4641
1554.5	2.4828
1555	2.4938
1555.5	2.5078
1556	2.4412
1556.5	2.4503
1557	2.4491
1557.5	2.4865
1558	2.4684
1558.5	2.4921
1559	2.476
1559.5	2.5103
1560	2.4764
1560.5	2.4825
1561	2.4798
1561.5	2.4742
1562	2.4624
1562.5	2.4714
1563	2.518
1563.5	2.5125
1564	2.5236
1564.5	2.5164
1565	2.5284
1565.5	2.6095
1566	2.6025
1566.5	2.6087
1567	2.5647
1567.5	2.6168
1568	2.6614
1568.5	2.6702
1569	2.6635
1569.5	2.6618
1570	2.6594
1570.5	2.6067
1571	2.6256
1571.5	2.5905
1572	2.6159
1572.5	2.5975
1573	2.6196
1573.5	2.641
1574	2.6262
1574.5	2.6325
1575	2.6212
1575.5	2.6191
1576	2.6351
1576.5	2.6264
1577	2.6198
1577.5	2.6505
1578	2.6629
1578.5	2.6539
1579	2.624
1579.5	2.6139
1580	2.6275
1580.5	2.6088
1581	2.5996
1581.5	2.617
1582	2.6277
1582.5	2.6378
1583	2.6479
1583.5	2.647
1584	2.6472
1584.5	2.6357
1585	2.6109
1585.5	2.5864
1586	2.6159
1586.5	2.6422
1587	2.6213
1587.5	2.6281
1588	2.6519
1588.5	2.6369
1589	2.6068
1589.5	2.621
1590	2.6147
1590.5	2.6315
1591	2.6062
1591.5	2.6081
1592	2.6015
1592.5	2.5898
1593	2.5869
1593.5	2.615
1594	2.6483
1594.5	2.6369
1595	2.63
1595.5	2.6154
1596	2.627
1596.5	2.6523
1597	2.6566
1597.5	2.6421
1598	2.6383
1598.5	2.6401
1599	2.5941
1599.5	2.617
1600	2.6365
1600.5	2.6621
1601	2.6471
1601.5	2.6656
1602	2.6828
1602.5	2.6673
1603	2.6724
1603.5	2.6795
1604	2.6818
1604.5	2.6582
1605	2.6449
1605.5	2.6521
1606	2.6321
1606.5	2.6449
1607	2.6413
1607.5	2.643
1608	2.6068
1608.5	2.5949
1609	2.6206
1609.5	2.6327
1610	2.6316
1610.5	2.6426
1611	2.6402
1611.5	2.6255
1612	2.6336
1612.5	2.6363
1613	2.6494
1613.5	2.6302
1614	2.6267
1614.5	2.6543
1615	2.6484
1615.5	2.6442
1616	2.6444
1616.5	2.6506
1617	2.6424
1617.5	2.6282
1618	2.6146
1618.5	2.6373
1619	2.6476
1619.5	2.6431
1620	2.6373
1620.5	2.6378
1621	2.6475
1621.5	2.6563
1622	2.6436
1622.5	2.6524
1623	2.6504
1623.5	2.6316
1624	2.6377
1624.5	2.6425
1625	2.6584
1625.5	2.6388
1626	2.6613
1626.5	2.6648
1627	2.6405
1627.5	2.6532
1628	2.6283
1628.5	2.6408
1629	2.6359
1629.5	2.6217
1630	2.6269
1630.5	2.6747
1631	2.6541
1631.5	2.6399
1632	2.6278
1632.5	2.6444
1633	2.6576
1633.5	2.662
1634	2.6532
1634.5	2.639
1635	2.6461
1635.5	2.6359
1636	2.606
1636.5	2.6284
1637	2.6454
1637.5	2.6653
1638	2.6556
1638.5	2.6639
1639	2.6611
1639.5	2.642
1640	2.6177
1640.5	2.6016
1641	2.6057
1641.5	2.6001
1642	2.6449
1642.5	2.6303
1643	2.6359
1643.5	2.6389
1644	2.6218
1644.5	2.6131
1645	2.6318
1645.5	2.6329
1646	2.6434
1646.5	2.6352
1647	2.6329
1647.5	2.6586
1648	2.6299
1648.5	2.6257
1649	2.6413
1649.5	2.6387
1650	2.6518
1650.5	2.6571
1651	2.6466
1651.5	2.6482
1652	2.6765
1652.5	2.6546
1653	2.6553
1653.5	2.6413
1654	2.6484
1654.5	2.6352
1655	2.625
1655.5	2.645
1656	2.6481
1656.5	2.6558
1657	2.6635
1657.5	2.6591
1658	2.6499
1658.5	2.6458
1659	2.6437
1659.5	2.6621
1660	2.644
1660.5	2.6393
1661	2.6317
1661.5	2.6457
1662	2.6582
1662.5	2.673
1663	2.6828
1663.5	2.6577
1664	2.6326
1664.5	2.6475
1665	2.6211
1665.5	2.6354
1666	2.6372
1666.5	2.64
1667	2.6245
1667.5	2.6433
1668	2.6453
1668.5	2.6286
1669	2.6164
1669.5	2.619
1670	2.6432
1670.5	2.6406
1671	2.6466
1671.5	2.6356
1672	2.6367
1672.5	2.6338
1673	2.6188
1673.5	2.6156
1674	2.6806
1674.5	2.6721
1675	2.6655
1675.5	2.653
1676	2.6721
1676.5	2.6504
1677	2.633
1677.5	2.6186
1678	2.6284
1678.5	2.6095
1679	2.6416
1679.5	2.6267
1680	2.638
1680.5	2.6643
1681	2.6155
1681.5	2.638
1682	2.6534
1682.5	2.6498
1683	2.6325
1683.5	2.6568
1684	2.6372
1684.5	2.6158
1685	2.6197
1685.5	2.6172
1686	2.6014
1686.5	2.6154
1687	2.6211
1687.5	2.6053
1688	2.6507
1688.5	2.6468
1689	2.657
1689.5	2.6264
1690	2.6386
1690.5	2.6342
1691	2.6273
1691.5	2.6454
1692	2.6475
1692.5	2.6435
1693	2.6368
1693.5	2.613
1694	2.6328
1694.5	2.6314
1695	2.6074
1695.5	2.6318
1696	2.655
1696.5	2.6482
1697	2.6432
1697.5	2.6466
1698	2.6322
1698.5	2.6438
1699	2.6304
1699.5	2.6477
1700	2.642
1700.5	2.6548
1701	2.65
1701.5	2.6398
1702	2.6387
1702.5	2.6561
1703	2.6675
1703.5	2.6523
1704	2.6679
1704.5	2.6357
1705	2.6396
1705.5	2.6414
1706	2.6636
1706.5	2.6511
1707	2.6582
1707.5	2.6442
1708	2.6435
1708.5	2.6501
1709	2.6566
1709.5	2.652
1710	2.6279
1710.5	2.6397
1711	2.6316
1711.5	2.6624
1712	2.6528
1712.5	2.6526
1713	2.6771
1713.5	2.649
1714	2.6378
1714.5	2.6448
1715	2.639
1715.5	2.6259
1716	2.6127
1716.5	2.6268
1717	2.6306
1717.5	2.6248
1718	2.6304
1718.5	2.6296
1719	2.6423
1719.5	2.6482
1720	2.6187
1720.5	2.643
1721	2.6205
1721.5	2.614
1722	2.6486
1722.5	2.6606
1723	2.6578
1723.5	2.6358
1724	2.6255
1724.5	2.592
1725	2.5852
1725.5	2.592
1726	2.5498
1726.5	2.5672
1727	2.5957
1727.5	2.5885
1728	2.6163
1728.5	2.6304
1729	2.6095
1729.5	2.616
1730	2.6066
1730.5	2.6234
1731	2.6358
1731.5	2.6024
1732	2.6437
1732.5	2.6158
1733	2.6509
1733.5	2.6234
1734	2.6421
1734.5	2.6086
1735	2.5481
1735.5	2.5789
1736	2.5884
1736.5	2.5988
1737	2.6413
1737.5	2.6369
1738	2.6187
1738.5	2.5725
1739	2.5591
1739.5	2.5242
1740	2.5149
1740.5	2.5187
1741	2.5285
1741.5	2.5869
1742	2.6213
1742.5	2.6008
1743	2.5531
1743.5	2.5681
1744	2.5371
1744.5	2.5511
1745	2.6246
1745.5	2.6502
1746	2.6529
1746.5	2.6231
1747	2.6352
1747.5	2.6292
1748	2.6225
1748.5	2.6379
1749	2.6244
1749.5	2.6646
1750	2.6602
1750.5	2.6356
1751	2.6238
1751.5	2.6343
1752	2.6065
1752.5	2.5975
1753	2.6303
1753.5	2.6203
1754	2.6287
1754.5	2.6453
1755	2.6433
1755.5	2.6397
1756	2.6461
1756.5	2.6426
1757	2.6192
1757.5	2.6404
1758	2.6451
1758.5	2.6147
1759	2.6328
1759.5	2.6152
1760	2.6283
1760.5	2.6496
1761	2.6554
1761.5	2.6485
